PROT_A	PROT_B	PARTIALCOR	PARTIALCOR_PVALUE
RAD21	KDM2B	0.3889	0.03
OGT	MBD3	-0.29699	0.01
MYC	SMAD1	-0.26047	0.02
KDM2B	ZFP384	-0.25966	0.02
OGT	MBD2	-0.21218	0.04
OGT	TAF1	0.46076	0.02
RAD21	NIPBL	0.36449	0.04
NIPBL	HDAC1	-0.21981	0.04
CTCF	NIPBL	0.34861	0.04
HCFC1	ZFP384	0.38994	0.03
OGT	SMAD1	0.35156	0.04
MBD3	TET1	0.32387	0.05
SMC1A	MBD2	-0.23702	0.03
RAD21	EZH2	-0.2083	0.05
NANOG	ZFP384	0.41152	0.03
RNF2	EZH2	0.41553	0.03
OGT	RNF2	0.3275	0.05
MYC	MBD3	0.32907	0.05
MBD3	HDAC1	-0.21812	0.04
MBD2	MBD3	0.49233	0.02
OGT	HDAC1	0.359	0.04
RNF2	KDM1A	0.33671	0.05
SMC1A	HDAC1	0.47406	0.02
HCFC1	HDAC1	-0.28766	0.01
MBD2	KMT2B	0.40894	0.03
RAD21	KMT2B	-0.21102	0.05
RNF2	HDAC1	0.51474	0.02
SMAD1	HDAC1	0.32377	0.05
SMC1A	SMAD1	0.39699	0.03
