Name	Complex
CTCF	CTCF/cohesin
RAD21	CTCF/cohesin
SMC1	CTCF/cohesin
SMC3	CTCF/cohesin
SUZ12	PRC1/2
RING1B	PRC1/2
EZH2	PRC1/2
CBX7	PRC1/2
RYBP	PRC1/2
PHF19	PRC1/2
NANOG	NANOG/SOX2/OCT4/TCF3
SOX2	NANOG/SOX2/OCT4/TCF3
OCT4	NANOG/SOX2/OCT4/TCF3
TCF3	NANOG/SOX2/OCT4/TCF3
MED1	Mediator
MED12	Mediator
NIPBL	Mediator
TET1	TET1/OGT/SIN3A
OGT	TET1/OGT/SIN3A
SIN3A	TET1/OGT/SIN3A
REST	REST
CoREST	REST
MI2B	NURD
LSD1	NURD
HDAC1	NURD
HDAC2	NURD
MBD2	NURD
MBD3	NURD
POLII	RNA polymerase II - Elongation
RNAPII_S7P	RNA polymerase II - Elongation
RNAPII_S5P	RNA polymerase II - Elongation
RNAPII_S2P	RNA polymerase II - Elongation
E2F1	RNA polymerase II - Elongation
BRG1	RNA polymerase II - Elongation
SETDB1	SETDB1
	
