HM	CM	ENET_B	SPCN_B	STATE	ENET_RSQ
CBX3	RNAPII_S2P	1	1	1	0.705649585993707
CBX7	RYBP	1	1	1	0.288107674980301
C_MYC	KLF4	1	1	1	0.372365613214145
C_MYC	N_MYC	1	1	1	0.333504934716256
C_MYC	STAT3	1	1	1	0.414914356214831
E2F1	POLII	1	1	1	0.674549660071085
EZH2	G9A	1	1	1	0.169214828836415
HCFC1	MAFK	1	1	1	0.424279825048644
HCFC1	ZC3H11A	1	1	1	0.476740290669373
HCFC1	ZNF384	1	1	1	0.424279825048644
HDAC1	HDAC2	1	1	1	0.437832831676776
HDAC1	SUZ12	1	1	1	0.471154435686715
HDAC2	SUZ12	1	1	1	0.471154435686715
KDM2A	KDM2B	1	1	1	0.241501046191471
KLF4	N_MYC	1	1	1	0.372365613214145
KLF4	STAT3	1	1	1	0.414914356214831
LSD1	MED12	1	1	1	0.530594594132759
MAFK	ZC3H11A	1	1	1	0.476740290669373
MAFK	ZNF384	1	1	1	0.328841076163708
MBD2T	TAF1	0	0	1	0.162941539676471
MED12	MED1	1	1	1	0.467564848905839
MED1	NIPBL	1	1	1	0.375425007252715
NANOG	OCT4	1	1	1	0.530127036856819
NANOG	SOX2	1	1	1	0.502252689387634
NANOG	TCF3	1	1	1	0.490535303014497
N_MYC	STAT3	1	1	1	0.414914356214831
OCT4	SOX2	1	1	1	0.530127036856819
POLII	RNAPII_S5P	1	1	1	0.674549660071085
POLII	RNAPII_S7P	1	1	1	0.730692140275658
RNAPII_S2P	RNAPII_S5P	1	1	1	0.705649585993707
RNAPII_S2P	RNAPII_S7P	1	1	1	0.730692140275658
RNAPII_S5P	RNAPII_S7P	1	1	1	0.730692140275658
SIN3A	TET1	1	1	1	0.258692851485063
SMC1	SMC3	1	1	1	0.455038713495553
SOX2	TCF3	1	1	1	0.502252689387634
ZC3H11A	ZNF384	1	1	1	0.476740290669373
CBX7	RYBP	1	1	2	0.269909484392833
C_MYC	N_MYC	1	1	2	0.354684496606528
C_MYC	STAT3	1	1	2	0.304413371783253
E2F1	POLII	1	1	2	0.713661551356714
ESRRB	RING1B	1	1	2	0.303145727989552
EZH2	G9A	1	1	2	0.21376239839431
HDAC1	HDAC2	1	1	2	0.453572630668078
HDAC1	SUZ12	1	1	2	0.459435992752431
HDAC1	TCF3	1	1	2	0.506756199395231
HDAC2	SUZ12	1	1	2	0.459435992752431
KDM2A	KDM2B	1	1	2	0.343968775584662
KLF4	STAT3	1	1	2	0.304413371783253
LSD1	MED12	1	1	2	0.63586345049967
MAFK	ZC3H11A	1	1	2	0.363850487348827
MAFK	ZNF384	1	1	2	0.303084018830862
MBD2T	TAF1	0	0	2	0.2350522691504
MED12	MED1	1	1	2	0.573945056978077
MED1	NIPBL	1	1	2	0.551929279427166
NANOG	OCT4	1	1	2	0.483375339182637
NANOG	SOX2	1	1	2	0.546649157509157
NANOG	TCF3	1	1	2	0.506756199395231
N_MYC	STAT3	1	1	2	0.354684496606528
OCT4	SOX2	1	1	2	0.546649157509157
OGT	TET1	1	1	2	0.465900578804514
POLII	RNAPII_S5P	1	1	2	0.758992127793552
POLII	RNAPII_S7P	1	1	2	0.826946088049676
RNAPII_S2P	RNAPII_S5P	1	1	2	0.810833192140463
RNAPII_S2P	RNAPII_S7P	1	1	2	0.826946088049676
RNAPII_S5P	RNAPII_S7P	1	1	2	0.826946088049676
SIN3A	TET1	1	1	2	0.465900578804514
SMC1	SMC3	1	1	2	0.628549785943899
SUZ12	TCF3	1	1	2	0.506756199395231
ZC3H11A	ZNF384	1	1	2	0.363850487348827
CBX7	RYBP	1	1	3	0.224010175171531
C_MYC	KLF4	1	1	3	0.351096151376771
C_MYC	N_MYC	1	1	3	0.329478197818389
C_MYC	STAT3	1	1	3	0.385693750876199
EZH2	G9A	1	1	3	0.116641130582767
HCFC1	MAFK	1	1	3	0.383070377832273
HCFC1	ZC3H11A	1	1	3	0.45156989616518
HCFC1	ZNF384	1	1	3	0.383070377832273
HDAC1	HDAC2	1	1	3	0.473900999465309
HDAC1	SUZ12	1	1	3	0.542546060470619
