HM	CM	ENET_B	SPCN_B	STATE	ENET_RSQ
CBX3	RNAPII_S2P	1	1	1	0.640495210565752
CBX7	RYBP	1	1	1	0.36039659991119
C_MYC	KLF4	1	1	1	0.39975113747423
C_MYC	N_MYC	1	1	1	0.444168867132346
C_MYC	STAT3	1	1	1	0.349180993216649
E2F1	POLII	1	1	1	0.838400843487137
EZH2	G9A	1	1	1	0.307873318154561
HDAC1	HDAC2	1	1	1	0.399907807181969
HDAC1	TCF3	1	1	1	0.464903627968577
KDM2A	KDM2B	1	1	1	0.504700275948558
KLF4	N_MYC	1	1	1	0.444168867132346
KLF4	STAT3	1	1	1	0.39975113747423
LSD1	MED12	1	1	1	0.770156501925328
LSD1	NIPBL	1	1	1	0.770156501925328
MBD2T	TAF1	0	0	1	0.225105739504988
MED12	MED1	1	1	1	0.731312441099626
MED12	NIPBL	1	1	1	0.731312441099626
MED1	NIPBL	1	1	1	0.67036405978103
NANOG	OCT4	1	1	1	0.578684299881155
NANOG	SOX2	1	1	1	0.525081663552783
NANOG	TCF3	1	1	1	0.464903627968577
N_MYC	STAT3	1	1	1	0.444168867132346
OCT4	SOX2	1	1	1	0.578684299881155
POLII	RNAPII_S5P	1	1	1	0.838400843487137
POLII	RNAPII_S7P	1	1	1	0.838400843487137
RNAPII_S2P	RNAPII_S5P	1	1	1	0.758546411281195
RNAPII_S2P	RNAPII_S7P	1	1	1	0.813911264274497
RNAPII_S5P	RNAPII_S7P	1	1	1	0.813911264274497
SIN3A	TET1	1	1	1	0.56124427461339
SMC1	SMC3	1	1	1	0.75302594578341
ZC3H11A	ZNF384	1	1	1	0.417587328382432
CBX7	RYBP	1	1	2	0.401086429836159
C_MYC	KLF4	1	1	2	0.380355207598128
C_MYC	N_MYC	1	1	2	0.439507535381737
C_MYC	STAT3	1	1	2	0.380355207598128
CoREST	MI2B	1	1	2	0.466943603005723
E2F1	POLII	1	1	2	0.802982914140945
EZH2	G9A	1	1	2	0.253708640334259
G9A	MBD2T	0	0	2	0.217682675214926
HCFC1	ZC3H11A	1	1	2	0.29337370609302
HDAC1	HDAC2	1	1	2	0.462231935960654
HDAC1	SUZ12	1	1	2	0.468178132455922
HDAC1	TCF3	1	1	2	0.485208874245622
KDM2A	KDM2B	1	1	2	0.476271713290061
KDM2A	TET1	1	1	2	0.558123756228299
KLF4	N_MYC	1	1	2	0.439507535381737
KLF4	STAT3	1	1	2	0.332196328725596
LSD1	MED12	1	1	2	0.752707203257387
LSD1	NIPBL	1	1	2	0.752707203257387
MBD2T	TAF1	0	0	2	0.211515219278666
MED12	MED1	1	1	2	0.74203140744642
MED12	NIPBL	1	1	2	0.74203140744642
MED1	NIPBL	1	1	2	0.69741997922246
NANOG	OCT4	1	1	2	0.496242822539414
NANOG	SOX2	1	1	2	0.552062412670931
NANOG	TCF3	1	1	2	0.485208874245622
N_MYC	STAT3	1	1	2	0.439507535381737
OCT4	SOX2	1	1	2	0.552062412670931
OCT4	TCF3	1	1	2	0.496242822539414
OGT	TET1	1	1	2	0.558123756228299
POLII	RNAPII_S5P	1	1	2	0.802982914140945
POLII	RNAPII_S7P	1	1	2	0.825807141348927
RNAPII_S2P	RNAPII_S5P	1	1	2	0.778649549630375
RNAPII_S2P	RNAPII_S7P	1	1	2	0.825807141348927
RNAPII_S5P	RNAPII_S7P	1	1	2	0.825807141348927
SIN3A	TET1	1	1	2	0.558123756228299
SMC1	SMC3	1	1	2	0.724599745827778
SOX2	TCF3	1	1	2	0.552062412670931
SUZ12	TCF3	1	1	2	0.485208874245622
CBX7	RYBP	1	1	3	0.368393617867032
C_MYC	KLF4	1	1	3	0.381282553246942
C_MYC	N_MYC	1	1	3	0.452975457111468
C_MYC	STAT3	1	1	3	0.34270198934534
CoREST	MI2B	1	1	3	0.414456414243197
