HM	CM	ENET_B	SPCN_B	STATE	ENET_RSQ
CBX3	RNAPII_S2P	1	1	4	0.653077467761842
CBX7	RYBP	1	1	19	0.66712225119614
C_MYC	KLF4	1	1	7	0.404647164070699
C_MYC	N_MYC	1	1	20	0.819154133711542
C_MYC	STAT3	1	1	11	0.538317497729825
E2F1	POLII	1	1	17	0.932150844066414
E2F1	RNAPII_8WG16	1	1	12	0.90703182109256
EZH2	G9A	1	1	17	0.528898072797254
HDAC1	HDAC2	1	1	20	0.551218729501928
HDAC1	TCF3	1	1	12	0.49080913792605
KDM2A	KDM2B	1	1	20	0.787809552343464
KLF4	N_MYC	1	1	16	0.558175952047272
KLF4	STAT3	1	1	19	0.455592609984113
LAMINB	P300	1	1	20	0.58584650249302
LSD1	MED12	1	1	20	0.909650453955312
LSD1	NIPBL	1	1	14	0.879011042351857
LSD1	POLII	1	1	9	0.932150844066414
MAFK	ZC3H11A	1	1	16	0.563181572094994
MAFK	ZNF384	1	1	14	0.515541499525217
MBD2T	TAF1	0	0	20	0.782322337873325
MED12	MED1	1	1	20	0.902729945437935
MED12	NIPBL	1	1	17	0.861820856976211
MED1	NIPBL	1	1	17	0.835502235265221
NANOG	OCT4	1	1	18	0.803767555637044
NANOG	SOX2	1	1	19	0.780514691038484
NANOG	TCF3	1	1	19	0.724418878418152
N_MYC	STAT3	1	1	15	0.558175952047272
OCT4	SOX2	1	1	20	0.803767555637044
OCT4	TCF3	1	1	16	0.803767555637044
POLII	RNAPII_8WG16	1	1	17	0.933489616491301
POLII	RNAPII_S7P	1	1	13	0.87498849013235
RNAPII_8WG16	RNAPII_S5P	1	1	18	0.933489616491301
RNAPII_8WG16	RNAPII_S7P	1	1	20	0.933489616491301
RNAPII_S2P	RNAPII_S5P	1	1	19	0.883919073356199
RNAPII_S2P	RNAPII_S7P	1	1	20	0.90815515813755
RNAPII_S5P	RNAPII_S7P	1	1	20	0.90815515813755
SIN3A	TET1	1	1	20	0.801466272428623
SMC1	SMC3	1	1	20	0.917281395819693
ZC3H11A	ZNF384	1	1	14	0.509965728666166
CoREST	MI2B	1	1	14	0.711161965012687
G9A	MBD2T	0	0	14	0.691659504287734
HCFC1	ZC3H11A	1	1	3	0.443217124666007
HDAC1	SUZ12	1	1	5	0.544598420857057
KDM2A	TET1	1	1	4	0.734645920198275
OGT	TET1	1	1	9	0.801466272428623
SOX2	TCF3	1	1	12	0.626169874300161
SUZ12	TCF3	1	1	2	0.508399590354541
HDAC2	TCF3	1	1	5	0.45441310882119
CBX3	MBD2T	1	1	9	0.643192680272864
EZH2	SUZ12	1	1	11	0.869894901118972
HCFC1	MAFK	1	1	5	0.407422153297784
HCFC1	ZNF384	1	1	5	0.407422153297784
RING1B	RNAPII_S5P	1	1	9	0.818822385769271
RAD21	ZC3H11A	1	1	6	0.677333751163881
CBX3	G9A	0	0	1	0.30619687232938
CoREST	REST	1	1	1	0.279196712677205
G9A	P300	1	1	1	0.30619687232938
HDAC2	SUZ12	1	1	1	0.418178080747195
MAX	MBD2T	1	1	2	0.375959079979852
MI2B	REST	1	1	1	0.513584453097045
G9A	REST	1	1	4	0.691659504287734
ESRRB	MED1	1	1	1	0.794879938057987
ESRRB	RING1B	1	1	1	0.712867684246411
E2F1	RNAPII_S7P	1	1	1	0.90815515813755
HCFC1	NIPBL	1	1	1	0.822715147919484
P300	RING1B	1	1	1	0.722100273327936
CBX7	EZH2	1	1	1	0.836188963666527
CBX7	PHF19	1	1	1	0.836188963666527
CBX7	RING1B	1	1	1	0.836188963666527
CBX7	SUZ12	1	1	2	0.869894901118972
CoREST	RYBP	1	1	1	0.710334330418573
EZH2	KDM2B	1	1	1	0.824845904883746
EZH2	RING1B	1	1	2	0.824845904883746
LSD1	MED1	1	1	2	0.813945221787032
MAX	RYBP	1	1	1	0.635458187582724
NIPBL	RYBP	1	1	1	0.835502235265221
RAD21	SMC3	1	1	1	0.79890355404677
RING1B	SUZ12	1	1	2	0.869894901118972
LSD1	MI2B	1	1	1	0.747241725985868
STAT3	TCFCP2I1	1	1	1	0.279871647935747
5fC	NIPBL	1	1	12	0.241007032915158
5fC	OGT	1	1	9	0.329671185635472
5fC	RYBP	1	1	17	0.329671185635472
5hmC	NIPBL	1	1	5	0.541006477065103
5hmC	TET1	1	1	19	0.541006477065103
5mC	G9A	0	0	2	0.0413272304971949
CTCF	RAD21	1	1	20	0.562221669919328
H2AZ	CBX3	0	0	13	0.646049639644027
H2AZ	MBD2T	0	0	20	0.646049639644027
H2AZ	RNAPII_S2P	0	0	8	0.281234104172104
H2AZ	TAF1	1	1	17	0.646049639644027
H2Aub1	RING1B	1	1	20	0.734006899477148
H2Aub1	RNAPII_S5P	1	1	20	0.734006899477148
H3K27ac	MBD2T	0	0	12	0.616282285372068
H3K27ac	MI2B	1	1	6	0.597995650610748
H3K27ac	RNAPII_S2P	1	1	4	0.529743440232072
H3K27me3	CBX7	1	1	18	0.386844679262139
H3K27me3	EZH2	1	1	19	0.67354909143207
H3K27me3	RYBP	1	1	18	0.67354909143207
H3K36me2	CBX7	1	1	20	0.37293674135832
H3K36me2	RYBP	1	1	20	0.37293674135832
H3K36me3	MBD2T	0	0	16	0.509126303988978
H3K36me3	RNAPII_S2P	1	1	20	0.509126303988978
H3K4me1	MBD2T	0	0	18	0.512322316859385
H3K4me1	TET1	1	1	17	0.512322316859385
H3K4me2	TET1	1	1	16	0.603978195951158
H3K79me2	RNAPII_S2P	1	1	18	0.255283539991957
H3K79me2	STAT3	0	0	2	0.139829584500162
H3K9ac	HCFC1	1	1	7	0.61266469566906
H3K9ac	RNAPII_8WG16	1	1	17	0.752349375233338
H3K9me3	SETDB1	1	1	20	0.500340400038551
