Our Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Protein names	ENSEBL Gene	ENSEMBL Protein	UniProt AC
MED12	Med12	Kiaa0192 Mopa Tnrc11 Trap230	Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12) (OPA-containing protein) (Thyroid hormone receptor-associated protein complex 230 kDa component) (Trap230) (Trinucleotide repeat-containing gene 11 protein)	ENSMUSG00000079487	ENSMUSP00000085260	A2AGH6
MAX	Max		Max protein (Protein max)	ENSMUSG00000059436	ENSMUSP00000106025	B2RS19
P300	Ep300	P300	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300)	ENSMUSG00000055024	ENSMUSP00000066789	B2RWS6
SETDB1	Setdb1		Histone-lysine N-methyltransferase SETDB1	ENSMUSG00000015697	ENSMUSP00000015841	D3YYC3
TAF1	Taf1		Transcription initiation factor TFIID subunit 1	ENSMUSG00000031314	ENSMUSP00000098895	D3YZK4
TET1	Tet1		Methylcytosine dioxygenase TET1	ENSMUSG00000047146	ENSMUSP00000133279	E9Q9Y4
KDM2A	Kdm2a	Fbxl11	F-box and leucine-rich repeat protein 11 (Lysine-specific demethylase 2A)	ENSMUSG00000054611	ENSMUSP00000047683	F6YRW4
MLL2	Kmt2b	Mll2 Trx2 Wbp7	Histone-lysine N-methyltransferase 2B (Lysine N-methyltransferase 2B) (EC 2.1.1.43) (Myeloid/lymphoid or mixed-lineage leukemia protein 4 homolog) (Trithorax homolog 2) (WW domain-binding protein 7) (WBP-7)	ENSMUSG00000006307	ENSMUSP00000103789	O08550
POLII	Polr2a	Rpii215 Rpo2-1	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase II subunit A) (DNA-directed RNA polymerase III largest subunit)	ENSMUSG00000005198	ENSMUSP00000071200	P08775
LAMINB	Lmnb1		Lamin-B1	ENSMUSG00000024590	ENSMUSP00000025486	P14733
OCT4	Pou5f1	Oct-3 Oct-4 Otf-3 Otf3	POU domain, class 5, transcription factor 1 (NF-A3) (Octamer-binding protein 3) (Oct-3) (Octamer-binding protein 4) (Oct-4) (Octamer-binding transcription factor 3) (OTF-3)	ENSMUSG00000024406	ENSMUSP00000025271	P20263
SMAD1	Smad1	Madh1 Madr1	Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (Dwarfin-A) (Dwf-A) (Mothers-against-DPP-related 1) (Mad-related protein 1) (mMad1) (SMAD family member 1) (SMAD 1) (Smad1)	ENSMUSG00000031681	ENSMUSP00000071035	P70340
TFCP2L1	Tfcp2l1	Crtr1 Tcfcp2l1	Transcription factor CP2-like protein 1 (CP2-related transcriptional repressor 1) (CRTR-1)	ENSMUSG00000026380	ENSMUSP00000027629	Q3UNW5
HDAC2	Hdac2		Putative uncharacterized protein (Fragment)	ENSMUSG00000019777	ENSMUSP00000019911	Q3URA2
HDAC1	Hdac1		Histone deacetylase (EC 3.5.1.98)	ENSMUSG00000028800	ENSMUSP00000099657	Q58E49
SIN3A	Sin3a	Kiaa4126	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	ENSMUSG00000042557	ENSMUSP00000128956	Q60520
KLF4	Klf4	Ezf Gklf Zie	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor)	ENSMUSG00000003032	ENSMUSP00000103245	Q60793
